Year,Term,YearTerm,Subject,Number,Name,Description,Credit Hours,Section Info,Degree Attributes,Schedule Information
2018,Fall,2018-fa,AFAS,111,Heritage and Values of the United States Air Force I,,,,,
2018,Fall,2018-fa,AFAS,112,Found of the US Air Force II,,,,,
2018,Fall,2018-fa,AFAS,120,Intro to US Armed Forces,,,,,
2018,Fall,2018-fa,AFAS,221,Team and Leadership Fundamentals I,,,,,
2018,Fall,2018-fa,AFAS,222,Evolution Air &amp; Space Power II,,,,,
2018,Fall,2018-fa,AFAS,331,Leading People and Effective Communication I,,,,,
2018,Fall,2018-fa,AFAS,332,USAF Leadership Studies II,,,,,
2018,Fall,2018-fa,AFAS,341,Nat Sec Afrs/Prep Actv Duty I,,,,,
2018,Fall,2018-fa,AFAS,342,Nat Sec Afrs/Prep Actv Duty II,,,,,
2018,Fall,2018-fa,AFRO,100,Intro to African American St,,,,,
2018,Fall,2018-fa,AFRO,101,"Black America, 1619-Present",,,,,
2018,Fall,2018-fa,AFRO,102,Researching the African Am Exp,,,,,
2018,Fall,2018-fa,AFRO,103,Black Women in the Diaspora,,,,,
2018,Fall,2018-fa,AFRO,105,Black Literature in America,,,,,
2018,Fall,2018-fa,AFRO,106,Hist Arch Americas,,,,,
2018,Fall,2018-fa,AFRO,132,African American Music,,,,,
2018,Fall,2018-fa,AFRO,199,Undergraduate Open Seminar,,,,,
2018,Fall,2018-fa,AFRO,201,US Racial &amp; Ethnic Politics,,,,,
2018,Fall,2018-fa,AFRO,211,Intro to African-American Film,,,,,
2018,Fall,2018-fa,AFRO,212,Intro African American Theat,,,,,
