Year,Term,YearTerm,Subject,Number,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor
2017,Fall,2017-fa,ACE,562,Applied Regression Models I,1,13,3,3,4,0,0,0,0,0,0,0,0,0,"Crost, Benjamin"
2017,Fall,2017-fa,ACE,564,Applied Regression Models II,1,14,2,5,2,0,0,0,0,0,0,0,0,0,"Crost, Benjamin"
2017,Fall,2017-fa,ACE,592,Law and Regulation,3,5,3,5,5,2,0,1,0,0,0,0,0,0,"Kesan, Jay P"
2017,Fall,2017-fa,ACES,101,Contemporary Issues in ACES,20,8,1,0,0,1,1,0,0,0,0,0,0,0,"Palma Salgado, Sindy P"
2017,Fall,2017-fa,ACES,101,Contemporary Issues in ACES,6,9,3,1,2,1,0,0,0,0,0,0,0,0,"Ogolsky, Brian G"
2017,Fall,2017-fa,ACES,101,Contemporary Issues in ACES,9,13,3,0,2,0,2,0,0,0,0,0,1,0,"Miller, James R"
2017,Fall,2017-fa,ACES,101,Contemporary Issues in ACES,6,9,7,1,3,0,1,0,1,1,1,0,0,0,"Helton, Caroline A"
2017,Fall,2017-fa,ACES,101,Contemporary Issues in ACES,8,9,2,1,0,0,0,0,0,0,1,0,2,0,"Allen, Crystal A"
2017,Fall,2017-fa,ACES,101,Contemporary Issues in ACES,9,8,2,1,0,0,1,0,0,1,0,0,0,0,"Murray, Joseph L"
2017,Fall,2017-fa,ACES,101,Contemporary Issues in ACES,8,14,4,0,2,0,1,0,1,0,0,0,0,0,"Breen, John"
2017,Fall,2017-fa,ACES,101,Contemporary Issues in ACES,8,9,4,0,1,1,0,0,0,0,0,0,0,0,"Allen, Crystal A"
2017,Fall,2017-fa,ACES,101,Contemporary Issues in ACES,16,5,2,0,0,0,0,0,0,0,0,0,1,0,"Nickols, Sharon M"
2017,Fall,2017-fa,ACES,101,Contemporary Issues in ACES,6,10,3,0,1,1,1,0,0,0,1,0,1,0,"Miller, James R"
2017,Fall,2017-fa,ACES,179,History of Ag in IL Since 1860,0,10,3,0,3,1,3,0,1,1,0,0,1,0,"Reid, Debra A"
2017,Fall,2017-fa,ACES,179,History of Ag in IL Since 1860,0,4,0,1,4,3,1,5,1,0,0,1,5,1,"Reid, Debra A"
2017,Fall,2017-fa,ADV,150,Introduction to Advertising,19,27,1,4,4,0,1,2,0,0,0,0,2,0,"Hall, Steven R"
2017,Fall,2017-fa,ADV,150,Introduction to Advertising,65,135,0,13,53,6,3,9,0,2,4,1,7,1,"Hall, Steven R"
2017,Fall,2017-fa,ADV,281,Advertising Research Methods,1,2,8,7,14,8,7,6,2,2,0,1,0,0,"Wise, Kevin R"
2017,Fall,2017-fa,ADV,281,Advertising Research Methods,0,8,1,3,34,0,1,15,0,0,1,0,1,0,"Vargas, Patrick T"
2017,Fall,2017-fa,ADV,283,Advertising and Brand Strategy,0,17,7,4,8,9,2,1,1,0,0,0,0,0,"Mabry-Flynn, Amanda D"
2017,Fall,2017-fa,ADV,283,Advertising and Brand Strategy,0,23,19,5,3,0,0,0,0,0,0,0,0,0,"Mabry-Flynn, Amanda D"
2017,Fall,2017-fa,ADV,283,Advertising and Brand Strategy,0,30,17,3,0,0,0,0,0,0,0,0,0,0,"Raquel, Steve A"
2017,Fall,2017-fa,ADV,284,Consumer Insight,0,18,22,6,2,1,0,1,0,0,0,0,0,0,"Duff, Brittany"
