CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
36475,BADM,380,International Business,OL,ONL,120245,"Bucheli, Marcelo",3,14,4,1,1,0,0,0,0,0,0,0,2,0,3.56
39625,BADM,403,Corporate & Commercial Law,MSA,ONL,120245,"Fricke, Michael R",32,28,8,3,2,0,0,0,0,0,0,0,0,0,3.91
38785,BADM,544,Strategic Management,IMB,ONL,120245,"Somaya, Deepak",339,318,189,83,43,13,6,3,0,0,0,0,8,0,3.77
38783,BADM,544,Strategic Management,ONL,ONL,120245,"Somaya, Deepak",10,8,2,1,1,1,0,0,0,0,0,0,2,0,3.53
40032,BADM,550,Business Practicum,A,LCD,120245,"Noonan, James R",1,37,0,1,1,1,1,0,0,0,0,0,0,0,3.89
39215,BADM,550,Business Practicum,B,LCD,120245,"Noonan, James R",0,41,3,1,0,0,0,0,0,0,0,0,0,0,3.96
34221,BADM,551,Managing Intellectual Property,A,ONL,120245,"Bradley, Joe A",0,133,0,3,0,0,0,0,0,0,0,0,0,0,3.99
30705,BADM,567,Operations Management,A,LCD,120245,"Anand, Gopesh J",11,33,7,3,0,0,0,1,0,0,0,0,0,0,3.89
41808,BADM,567,Operations Management,IMB,ONL,120245,"Anand, Gopesh J",146,636,77,27,13,5,3,0,1,0,0,0,3,0,3.91
41809,BADM,567,Operations Management,ONL,ONL,120245,"Anand, Gopesh J",10,51,14,1,6,1,1,0,0,0,0,0,3,0,3.7
39682,BADM,588,Business Practice Immersion,I,DIS,120245,"Noonan, James R",0,48,0,0,0,1,0,0,0,0,0,0,0,0,3.97
36349,BTW,250,Principles Bus Comm,I,ONL,120245,"Holguin, Marilyn M",16,5,0,0,0,0,1,0,0,0,0,0,0,0,3.92
38250,CHEM,102,General Chemistry I,O,ONL,120245,"Marville, Kelly",0,1,2,1,5,5,2,6,4,2,3,2,8,5,1.79
38251,CHEM,104,General Chemistry II,O,ONL,120245,"Ray, Christian R",6,4,5,7,17,14,7,18,14,2,0,2,4,1,2.5
33499,CHEM,232,Elementary Organic Chemistry I,A,ONL,120245,"Axelson, Jordan C",6,4,5,4,11,9,5,4,7,0,3,0,10,1,2.4
41529,CHEM,360,Chemistry of the Environment,A,OLC,120245,"Huang, Tina H",0,21,11,7,9,0,0,1,0,0,0,0,0,0,3.61
30840,CHEM,442,Physical Chemistry I,1,ONL,120245,"Nicely, Amy L",1,9,3,1,3,1,1,1,2,0,0,0,2,1,3.07
38368,CHLH,101,Introduction to Public Health,ON2,ONL,120245,"Schwingel, Andiara",7,5,4,2,3,1,1,1,0,0,0,1,0,0,3.44
36276,CHLH,243,Drug Use and Misuse,ON2,ONL,120245,"Schwingel, Andiara",0,18,0,0,4,0,0,4,0,0,0,0,2,0,3.29
41776,CHLH,260,Introduction to Medical Ethics,ON2,ONL,120245,"Freehill, Ariel N",0,18,0,0,5,0,0,0,0,0,0,0,1,0,3.63
41178,CI,438,Comp Prgrmmg and the Classroom,G,ONL,120245,"Hartman, Bryan R",0,22,1,0,0,1,0,0,0,0,0,0,0,0,3.93
38658,CLCV,115,Mythology of Greece and Rome,OL1,ONL,120245,"Mylli, Eleonora",5,8,7,2,2,2,2,1,0,0,0,0,0,1,3.53
34798,CMN,102,Introduction to Communication,1,ONL,120245,"G Son, Gopashis Biswas",3,5,2,3,6,0,1,1,1,1,0,0,1,0,3.11
