Subject,Course,CRN,Course Title,Course Section,Sched Type,Term,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
DANC,100,59052,Intro to Contemporary Dance,OL3,ONL,120238,1,15,5,0,1,0,0,0,0,0,1,0,1,0,3.6,"Condon, Elizabeth G"
DANC,100,33859,Intro to Contemporary Dance,OL4,ONL,120238,0,18,3,0,1,0,0,0,2,1,0,0,0,0,3.63,"Segale, Magdalyn L"
DANC,100,33873,Intro to Contemporary Dance,OL5,ONL,120238,17,5,1,1,1,0,0,0,0,0,0,0,0,0,3.92,"Gonzalez, Gabriel B"
DANC,100,78508,Intro to Contemporary Dance,OL6,ONL,120238,2,18,3,0,0,0,0,0,0,0,0,0,1,0,3.79,"Brandano, Juliana"
DANC,116,76967,Dance I: Ballroom,E,LAB,120238,15,5,1,0,0,0,1,0,1,0,0,0,0,2,3.81,"Tecza, Aleksander"
DANC,200,68132,Explore Music through Dance,OL1,ONL,120238,5,30,5,3,2,0,0,0,0,0,0,0,0,2,3.87,"Toenjes, John M"
DANC,200,78160,Explore Music through Dance,OL2,ONL,120238,25,10,1,1,1,1,0,0,0,1,1,1,4,1,3.38,"Henss, Jacob M"
DANC,201,70399,Yoga Practicum,A,LAB,120238,15,8,2,0,1,0,0,0,0,1,0,0,0,0,3.84,"Ayorinde, Oluwadamilare"
DANC,270,76935,Dancing in Community I,A,LAB,120238,3,8,4,1,1,1,1,3,0,0,0,0,0,0,3.46,"Emadian, Elliot R"
DANC,340,59812,Dancing Black Popular Culture,OL1,ONL,120238,0,11,6,5,0,2,0,0,0,0,0,0,1,0,3.52,"Gilmore, Adanya N"
DTX,180,78357,Exercising Empathy,A,LCD,120238,0,16,4,0,1,0,0,0,0,0,0,0,1,0,3.71,"James, Carrie L"
DTX,251,75903,Intro to Design Thinking,A,LCD,120238,19,6,2,0,0,0,1,0,0,0,0,0,0,0,3.92,"Dohman, Brandon"
DTX,495,78626,Student-Centered App Design,B,LCD,120238,13,8,5,0,0,0,0,0,0,0,0,0,1,0,3.79,"Fava, Jake C"
EALC,130,40948,The Chinese Language,S,LCD,120238,17,13,7,4,2,1,0,0,1,0,0,0,0,0,3.76,"Su, Yunwen"
EALC,212,77314,East Asian Art History,NG,LCD,120238,4,10,5,1,4,3,1,5,1,0,0,1,0,0,3.21,"Gunji, Naoko"
EALC,225,78360,Japanese Religions,CC,LEC,120238,0,12,1,3,5,1,0,2,0,0,0,0,1,1,3.33,"Callahan, Christopher T"
EALC,230,74002,Pop Cultures Contemp East Asia,AD1,LCD,120238,55,63,27,9,9,5,7,2,1,1,0,1,1,1,3.68,"Song, Myoung-Sun"
EALC,275,47201,Masterpieces of East Asian Lit,AD3,DIS,120238,6,10,2,5,1,0,0,0,0,1,0,0,0,0,3.69,"Bian, Ruoyi"
EALC,275,47207,Masterpieces of East Asian Lit,AD6,DIS,120238,9,11,1,1,0,0,0,0,0,0,0,0,0,0,3.95,"Bian, Ruoyi"
EALC,327,78359,Tokyo: Then and Now,RW,LEC,120238,0,20,1,1,0,0,1,0,0,0,0,0,0,1,3.88,"Wilson, Roderick I"
ECE,101,45172,Exploring Digital Info Technol,AL,LEC,120238,15,6,4,0,0,0,0,0,0,0,0,0,2,0,3.65,"Chakravarty, Abrita"
ECE,110,55568,Introduction to Electronics,AL1,LEC,120238,9,40,14,13,15,6,9,5,5,4,3,2,6,0,3.06,"Choi, Hyungsoo"
ECE,110,36790,Introduction to Electronics,AL2,LEC,120238,13,21,6,5,12,7,3,9,5,4,1,1,9,0,2.81,"Kim, Kyekyoon"
ECE,110,36789,Introduction to Electronics,AL3,ONL,120238,5,12,10,8,15,5,5,11,4,2,7,3,6,1,2.6,"Gilbert, Matthew"
ECE,110,62844,Introduction to Electronics,AL4,LEC,120238,12,24,14,14,10,9,6,3,4,2,1,1,3,2,3.17,"Schuh, Jonathon K"
ECE,110,71284,Introduction to Electronics,ZJ1,LEC,120238,37,80,11,3,5,2,1,0,0,0,0,0,0,0,3.89,"Ravaioli, Umberto"
ECE,120,64595,Introduction to Computing,AL1,LEC,120238,6,15,12,3,12,2,3,3,0,0,1,0,0,0,3.39,"Zhang, Huan"
ECE,120,65733,Introduction to Computing,AL2,ONL,120238,7,10,9,10,8,2,3,0,3,1,0,0,3,0,3.16,"Bhat, Suma P"
ECE,120,65734,Introduction to Computing,AL3,LEC,120238,28,40,24,26,18,10,10,6,4,2,3,2,3,0,3.27,"Aggarwal, Anu"
ECE,120,75613,Introduction to Computing,AL5,LEC,120238,22,34,22,18,10,15,8,5,1,2,4,0,3,0,3.28,"Bhowmik, Ujjal K"
ECE,120,78787,Introduction to Computing,ZJ1,OLC,120238,8,39,44,19,15,8,6,1,0,0,0,0,0,0,3.54,"Bhowmik, Ujjal K"
ECE,205,60609,Electrical & Electronic Ckts,AL,LEC,120238,104,56,20,19,18,8,9,10,7,4,3,0,0,0,3.54,"Ravaioli, Umberto"
ECE,206,36828,Electrical & Electronics Lab,F4,LAB,120238,0,23,0,2,2,1,1,1,0,0,0,0,0,0,3.72,"Radhakrishnan, Chandrasek"
ECE,210,36696,Analog Signal Processing,AL1,LEC,120238,5,2,7,6,5,11,4,6,4,2,0,3,2,1,2.64,"Shao, Yang V"
ECE,210,36702,Analog Signal Processing,AL2,LEC,120238,2,2,6,8,8,15,6,14,7,5,4,5,1,1,2.37,"Alvarez, Juan"
