CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A Range,B Range,C Range,D Range,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
64807,ACCY,518,Financial Statement Fraud,A,LCD,120251,"Nekrasz, Frank",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
64808,ACCY,518,Financial Statement Fraud,B,LCD,120251,"Nekrasz, Frank",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
64809,ACCY,518,Financial Statement Fraud,C,LCD,120251,"Nekrasz, Frank",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
71765,ACCY,518,Financial Statement Fraud,D,LCD,120251,"Nekrasz, Frank",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
76060,ACCY,519,Govt & NFP Accounting,DA1,ONL,120251,"Ulla, Jennifer W",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
76061,ACCY,519,Govt & NFP Accounting,NA1,ONL,120251,"Ulla, Jennifer W",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
70066,ACCY,550,Multistate Taxation,A4,LCD,120251,"Hutchens, Matthew",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
63205,ACCY,551,Corporate Income Taxation,A,LCD,120251,"Hutchens, Matthew",,,,,3,12,5,1,2,1,0,0,0,0,0,0,1,0,3.61
30438,ACCY,552,Partnership Income Taxation,A,LCD,120251,"Sternburg, Thomas",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30440,ACCY,552,Partnership Income Taxation,B,LCD,120251,"Sternburg, Thomas",,,,,0,13,6,4,5,0,0,0,0,0,0,0,1,0,3.53
65171,ACCY,554,International Taxation,A,LCD,120251,"Hutchens, Matthew",,,,,9,6,3,1,2,0,0,0,0,0,0,0,1,0,3.65
71766,ACCY,570,Data Analytics Foundations,D4,OLB,120251,"Herbold, T J",,,,,9,11,0,0,1,0,0,0,0,0,0,0,0,0,3.95
77038,ACCY,570,Data Analytics Foundations,E4,OLB,120251,"Lu, Zhenzhong L",,,,,18,5,1,1,1,0,0,0,0,0,0,0,0,0,3.92
68538,ACCY,571,Stat Analyses for Accountancy,A,LCD,120251,"Lu, Zhenzhong L",,,,,7,8,4,2,0,0,0,0,0,0,0,0,0,0,3.87
