CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A Range,B Range,C Range,D Range,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
38339,ART,205,Experience & Meaning in Design,NT,ONL,120185,"Thomas, Nekita S",,,,,0,20,0,0,1,0,0,0,0,0,0,0,0,0,3.95
38341,ARTD,209,Chado (The Way of Tea),JG,ONL,120185,"Gunji-Ballsrud, Jennifer",,,,,2,21,6,9,2,4,1,5,1,0,2,0,5,1,3.05
37432,ASTR,100,Introduction to Astronomy,ONL,ONL,120185,"Dunne, Bryan C",,,,,4,12,1,7,2,2,1,1,0,1,0,0,1,1,3.37
39057,ASTR,330,Extraterrestrial Life,ONL,ONL,120185,"Chue, Chun Yin Ricky",,,,,3,38,3,0,0,0,0,0,0,0,0,0,1,0,3.89
36300,ATMS,120,Severe and Hazardous Weather,ONL,ONL,120185,"Snodgrass, Eric R",,,,,9,99,16,6,48,10,9,7,1,0,0,1,11,0,3.31
37386,BADM,300,The Legal Environment of Bus,OL,ONL,120185,"Marrs, Gregory A",,,,,4,8,3,1,12,2,6,2,1,0,0,0,2,2,3.01
29884,BADM,300,The Legal Environment of Bus,ONL,ONL,120185,"Fricke, Michael R",,,,,24,37,15,13,10,3,2,4,1,1,1,0,1,0,3.54
36472,BADM,310,Mgmt and Organizational Beh,OL,ONL,120185,"Gill, Shahbaz",,,,,0,36,39,47,33,4,5,7,1,0,2,0,0,0,3.35
36473,BADM,320,Principles of Marketing,OL,ONL,120185,"Gill, Shahbaz",,,,,0,22,19,41,43,6,7,5,4,3,1,0,2,1,3.12
36474,BADM,350,IT for Networked Organizations,OL,ONL,120185,"Sachdev, Vishal",,,,,0,16,4,4,3,4,0,1,1,0,0,0,0,1,3.5
37373,BADM,375,Business Process Management,OL,ONL,120185,"Scott, Nehemiah",,,,,0,4,5,6,5,3,3,0,1,1,0,2,1,0,2.86
36475,BADM,380,International Business,OL,ONL,120185,"Bucheli, Marcelo",,,,,6,15,2,1,1,2,0,0,0,0,0,0,0,0,3.82
39625,BADM,403,Corporate & Commercial Law,MSA,ONL,120185,"Fricke, Michael R",,,,,34,2,0,0,1,0,1,0,0,0,0,0,0,0,3.93
38785,BADM,544,Strategic Management,IMB,ONL,120185,"Sleptsov, Alexander",,,,,38,158,109,92,72,14,15,4,2,1,0,0,6,2,3.51
38783,BADM,544,Strategic Management,ONL,ONL,120185,"Sleptsov, Alexander",,,,,14,35,24,21,11,3,0,0,0,0,0,0,6,0,3.47
39215,BADM,550,Technology Practicum,ADV,LCD,120185,"Kurtz, Jeffrey M",,,,,4,25,0,0,6,0,0,0,0,0,0,0,0,0,3.83
34221,BADM,551,Managing Intellectual Property,ADV,LCD,120185,"Bradley, Joe A",,,,,18,20,14,2,1,0,0,0,0,0,0,0,0,0,3.87
