Year,Term,TermYear,Course,Course Title,ACP,CS,HUM,NAT,QR,SBS
2023,Spring,2023-sp,CWL 311,Japan Lit in Translation I,,NW,LA,,,
2023,Spring,2023-sp,CWL 312,Japan Lit in Translation II,,NW,LA,,,
2023,Spring,2023-sp,CWL 320,Responses to the Holocaust,,WCC,LA,,,
2023,Spring,2023-sp,CWL 322,The Comic Imagination,ACP,WCC,LA,,,
2023,Spring,2023-sp,CWL 400,African Diasporic Thought in the Caribbean,,NW,,,,
2023,Spring,2023-sp,DANC 100,Intro to Contemporary Dance,,WCC,LA,,,
2023,Spring,2023-sp,DANC 125,Black Dances of Resistance,,US,,,,
2023,Spring,2023-sp,DANC 200,Explore Music through Dance,,,LA,,,
2023,Spring,2023-sp,DANC 340,Dancing Black Popular Culture,,US,HP,,,
2023,Spring,2023-sp,DANC 345,Dance Anatomy and Kinesiology,,,,LS,,
2023,Spring,2023-sp,DANC 441,Dance History Seminar,ACP,,,,,
2023,Spring,2023-sp,EALC 120,East Asian Civilizations,,NW,HP,,,
